	SepalLength	SepalWidth	PetalLength	PetalWidth	Group:setosa	Group:versicolor	Group:virginica
Group:setosa	5.100000000e+00	3.500000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.900000000e+00	3.000000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.700000000e+00	3.200000000e+00	1.300000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.600000000e+00	3.100000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.600000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.400000000e+00	3.900000000e+00	1.700000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.600000000e+00	3.400000000e+00	1.400000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.400000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.400000000e+00	2.900000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.900000000e+00	3.100000000e+00	1.500000000e+00	1.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.400000000e+00	3.700000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.800000000e+00	3.400000000e+00	1.600000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.800000000e+00	3.000000000e+00	1.400000000e+00	1.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.300000000e+00	3.000000000e+00	1.100000000e+00	1.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.800000000e+00	4.000000000e+00	1.200000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.700000000e+00	4.400000000e+00	1.500000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.400000000e+00	3.900000000e+00	1.300000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.500000000e+00	1.400000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.700000000e+00	3.800000000e+00	1.700000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.800000000e+00	1.500000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.400000000e+00	3.400000000e+00	1.700000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.700000000e+00	1.500000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.600000000e+00	3.600000000e+00	1.000000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.300000000e+00	1.700000000e+00	5.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.800000000e+00	3.400000000e+00	1.900000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.000000000e+00	1.600000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.400000000e+00	1.600000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.200000000e+00	3.500000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.200000000e+00	3.400000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.700000000e+00	3.200000000e+00	1.600000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.800000000e+00	3.100000000e+00	1.600000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.400000000e+00	3.400000000e+00	1.500000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.200000000e+00	4.100000000e+00	1.500000000e+00	1.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.500000000e+00	4.200000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.900000000e+00	3.100000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.200000000e+00	1.200000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.500000000e+00	3.500000000e+00	1.300000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.900000000e+00	3.600000000e+00	1.400000000e+00	1.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.400000000e+00	3.000000000e+00	1.300000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.400000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.500000000e+00	1.300000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.500000000e+00	2.300000000e+00	1.300000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.400000000e+00	3.200000000e+00	1.300000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.500000000e+00	1.600000000e+00	6.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.800000000e+00	1.900000000e+00	4.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.800000000e+00	3.000000000e+00	1.400000000e+00	3.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.100000000e+00	3.800000000e+00	1.600000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	4.600000000e+00	3.200000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.300000000e+00	3.700000000e+00	1.500000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:setosa	5.000000000e+00	3.300000000e+00	1.400000000e+00	2.000000000e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00
Group:versicolor	7.000000000e+00	3.200000000e+00	4.700000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.400000000e+00	3.200000000e+00	4.500000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.900000000e+00	3.100000000e+00	4.900000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.500000000e+00	2.300000000e+00	4.000000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.500000000e+00	2.800000000e+00	4.600000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.700000000e+00	2.800000000e+00	4.500000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.300000000e+00	3.300000000e+00	4.700000000e+00	1.600000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	4.900000000e+00	2.400000000e+00	3.300000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.600000000e+00	2.900000000e+00	4.600000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.200000000e+00	2.700000000e+00	3.900000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.000000000e+00	2.000000000e+00	3.500000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.900000000e+00	3.000000000e+00	4.200000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.000000000e+00	2.200000000e+00	4.000000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.100000000e+00	2.900000000e+00	4.700000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.600000000e+00	2.900000000e+00	3.600000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.700000000e+00	3.100000000e+00	4.400000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.600000000e+00	3.000000000e+00	4.500000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.800000000e+00	2.700000000e+00	4.100000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.200000000e+00	2.200000000e+00	4.500000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.600000000e+00	2.500000000e+00	3.900000000e+00	1.100000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.900000000e+00	3.200000000e+00	4.800000000e+00	1.800000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.100000000e+00	2.800000000e+00	4.000000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.300000000e+00	2.500000000e+00	4.900000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.100000000e+00	2.800000000e+00	4.700000000e+00	1.200000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.400000000e+00	2.900000000e+00	4.300000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.600000000e+00	3.000000000e+00	4.400000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.800000000e+00	2.800000000e+00	4.800000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.700000000e+00	3.000000000e+00	5.000000000e+00	1.700000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.000000000e+00	2.900000000e+00	4.500000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.700000000e+00	2.600000000e+00	3.500000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.500000000e+00	2.400000000e+00	3.800000000e+00	1.100000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.500000000e+00	2.400000000e+00	3.700000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.800000000e+00	2.700000000e+00	3.900000000e+00	1.200000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.000000000e+00	2.700000000e+00	5.100000000e+00	1.600000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.400000000e+00	3.000000000e+00	4.500000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.000000000e+00	3.400000000e+00	4.500000000e+00	1.600000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.700000000e+00	3.100000000e+00	4.700000000e+00	1.500000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.300000000e+00	2.300000000e+00	4.400000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.600000000e+00	3.000000000e+00	4.100000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.500000000e+00	2.500000000e+00	4.000000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.500000000e+00	2.600000000e+00	4.400000000e+00	1.200000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.100000000e+00	3.000000000e+00	4.600000000e+00	1.400000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.800000000e+00	2.600000000e+00	4.000000000e+00	1.200000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.000000000e+00	2.300000000e+00	3.300000000e+00	1.000000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.600000000e+00	2.700000000e+00	4.200000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.700000000e+00	3.000000000e+00	4.200000000e+00	1.200000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.700000000e+00	2.900000000e+00	4.200000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	6.200000000e+00	2.900000000e+00	4.300000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.100000000e+00	2.500000000e+00	3.000000000e+00	1.100000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:versicolor	5.700000000e+00	2.800000000e+00	4.100000000e+00	1.300000000e+00	0.000000000e+00	1.000000000e+00	0.000000000e+00
Group:virginica	6.300000000e+00	3.300000000e+00	6.000000000e+00	2.500000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	5.800000000e+00	2.700000000e+00	5.100000000e+00	1.900000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.100000000e+00	3.000000000e+00	5.900000000e+00	2.100000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.300000000e+00	2.900000000e+00	5.600000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.500000000e+00	3.000000000e+00	5.800000000e+00	2.200000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.600000000e+00	3.000000000e+00	6.600000000e+00	2.100000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	4.900000000e+00	2.500000000e+00	4.500000000e+00	1.700000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.300000000e+00	2.900000000e+00	6.300000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.700000000e+00	2.500000000e+00	5.800000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.200000000e+00	3.600000000e+00	6.100000000e+00	2.500000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.500000000e+00	3.200000000e+00	5.100000000e+00	2.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.400000000e+00	2.700000000e+00	5.300000000e+00	1.900000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.800000000e+00	3.000000000e+00	5.500000000e+00	2.100000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	5.700000000e+00	2.500000000e+00	5.000000000e+00	2.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	5.800000000e+00	2.800000000e+00	5.100000000e+00	2.400000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.400000000e+00	3.200000000e+00	5.300000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.500000000e+00	3.000000000e+00	5.500000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.700000000e+00	3.800000000e+00	6.700000000e+00	2.200000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.700000000e+00	2.600000000e+00	6.900000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.000000000e+00	2.200000000e+00	5.000000000e+00	1.500000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.900000000e+00	3.200000000e+00	5.700000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	5.600000000e+00	2.800000000e+00	4.900000000e+00	2.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.700000000e+00	2.800000000e+00	6.700000000e+00	2.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.300000000e+00	2.700000000e+00	4.900000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.700000000e+00	3.300000000e+00	5.700000000e+00	2.100000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.200000000e+00	3.200000000e+00	6.000000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.200000000e+00	2.800000000e+00	4.800000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.100000000e+00	3.000000000e+00	4.900000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.400000000e+00	2.800000000e+00	5.600000000e+00	2.100000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.200000000e+00	3.000000000e+00	5.800000000e+00	1.600000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.400000000e+00	2.800000000e+00	6.100000000e+00	1.900000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.900000000e+00	3.800000000e+00	6.400000000e+00	2.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.400000000e+00	2.800000000e+00	5.600000000e+00	2.200000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.300000000e+00	2.800000000e+00	5.100000000e+00	1.500000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.100000000e+00	2.600000000e+00	5.600000000e+00	1.400000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	7.700000000e+00	3.000000000e+00	6.100000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.300000000e+00	3.400000000e+00	5.600000000e+00	2.400000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.400000000e+00	3.100000000e+00	5.500000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.000000000e+00	3.000000000e+00	4.800000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.900000000e+00	3.100000000e+00	5.400000000e+00	2.100000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.700000000e+00	3.100000000e+00	5.600000000e+00	2.400000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.900000000e+00	3.100000000e+00	5.100000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	5.800000000e+00	2.700000000e+00	5.100000000e+00	1.900000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.800000000e+00	3.200000000e+00	5.900000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.700000000e+00	3.300000000e+00	5.700000000e+00	2.500000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.700000000e+00	3.000000000e+00	5.200000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.300000000e+00	2.500000000e+00	5.000000000e+00	1.900000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.500000000e+00	3.000000000e+00	5.200000000e+00	2.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	6.200000000e+00	3.400000000e+00	5.400000000e+00	2.300000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:virginica	5.900000000e+00	3.000000000e+00	5.100000000e+00	1.800000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
