	AMP	ADP	ATP	Acetate	Alanine	Ascorbat	Aspartate	Betaine	Cholate	Creatine	Ethanol	Formate	Fumarate	Glucose	Glucose_1_phosphate	Glucose_6_phosphate	Glutamate	Glutamine	Glutathione	Glycine	Histidine	Hypoxanthine	IMP	Inosine	Isoleucine	Lactate	Leucine	Lysine	Malate	Maltose	Methanol	Methionine	NAD_	NADP_	NADH	NADPH	Niacinamide	Phenylalanine	Succinate	Taurine	Tyrosine	UDP_glucose	UDP_glucuronate	Uracil	Uridine	Valine	Group:Group:A	Group:Group:B	Group:Group:C	Group:Group:D	Group:Group:E
Group:Group:E_1P	1.112242857e-01	0.000000000e+00	0.000000000e+00	2.144740000e+00	3.000957143e+00	8.604142857e-01	1.208777143e+00	1.615900000e+00	4.826714286e-02	2.308428571e-01	1.795936443e+02	2.749128571e-01	4.931642857e-01	7.809623714e+01	1.275092000e+01	2.317242571e+01	3.796315714e+00	6.937877143e+00	1.617998571e+00	4.988304286e+00	1.003117143e+00	2.694565714e+00	1.028300000e-01	1.072370000e+00	4.260100000e-01	5.504552857e+00	8.478228571e-01	1.147918571e+00	3.840385714e+00	4.512558143e+01	2.044008571e+00	2.266457143e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.649477143e+00	2.287442857e-01	7.974571429e-02	2.315773571e+01	3.525600000e-01	5.771071429e-01	2.245471429e-01	5.519242857e-01	6.505571429e-01	7.785700000e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:Group:E_2P	1.089258503e+00	0.000000000e+00	0.000000000e+00	1.678857143e+00	3.657510204e+00	7.161791383e-01	9.160430839e-01	3.794083900e+00	0.000000000e+00	2.964648526e-01	3.458978685e+01	2.664852608e-01	3.231133787e-01	4.940303628e+01	6.074531519e+01	1.735818367e+01	3.584226757e+00	5.799385488e+00	4.513594104e+00	4.077224490e+00	1.095920635e+00	2.881371882e+00	1.865396825e-01	5.029909297e-01	4.397006803e-01	8.690750567e+00	9.626780045e-01	1.175866213e+00	2.534941043e+00	5.083206349e+00	1.590583900e+01	3.764104308e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.648877551e+00	3.197823129e-01	6.995238095e-02	2.253799093e+01	3.764104308e-01	6.562199546e-01	3.097891156e-01	2.464988662e-01	2.165192744e-01	7.828004535e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:Group:E_3P	3.786082474e-01	0.000000000e+00	0.000000000e+00	1.768857732e+00	2.859249485e+00	5.815422680e-01	1.638616495e+00	3.801226804e+00	1.575010309e-01	3.604350515e-01	3.990228041e+01	2.392804124e-01	4.785608247e-01	6.467537526e+01	1.531697526e+01	2.344948041e+01	7.444952577e+00	7.148123711e+00	1.241835052e+00	4.261614433e+00	8.904865979e-01	2.189870103e+00	2.938000000e-01	5.815422680e-01	4.603876289e-01	4.794694845e+00	9.450061856e-01	1.202459794e+00	3.640696907e+00	5.797249485e+00	2.898624742e+00	3.634639175e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.556837113e+00	3.028865979e-01	8.480824742e-02	2.426727423e+01	4.573587629e-01	8.601979381e-01	2.998577320e-01	6.148597938e-01	2.332226804e-01	7.602453608e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:Group:E_4P	2.800611511e-01	0.000000000e+00	0.000000000e+00	2.310944844e+00	3.841593525e+00	9.899016787e-01	1.491898082e+00	1.393260192e+00	4.755755396e-02	2.871067146e-01	1.262811583e+02	2.765383693e-01	5.337014388e-01	8.728572542e+01	2.001644604e+01	1.767731894e+01	4.877291367e+00	8.275014388e+00	5.252467626e+00	5.590654676e+00	1.102630695e+00	3.492838129e+00	2.923908873e-01	1.497182254e+00	3.980743405e-01	6.651011990e+00	8.278537170e-01	1.167802158e+00	4.116370504e+00	9.007752998e+00	1.666275779e+00	2.536402878e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.639854916e+00	2.465947242e-01	1.215359712e-01	1.022663549e+01	4.121654676e-01	7.873417266e-01	2.818225420e-01	4.156882494e-01	6.305779376e-01	7.785347722e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:Group:E_5P	2.173951149e-01	0.000000000e+00	0.000000000e+00	2.247823276e+00	3.201829023e+00	6.669597701e-01	5.593175287e-01	2.777591954e+00	3.799137931e-02	2.574971264e-01	1.378306135e+02	3.081522989e-01	3.313692529e-01	8.499515805e+01	1.131298851e+01	3.119514368e+01	3.452994253e+00	4.666607759e+00	1.886905172e+00	4.478761494e+00	1.023656609e+00	2.581303161e+00	1.667399425e-01	8.906867816e-01	3.461436782e-01	8.058393678e+00	7.302787356e-01	8.927974138e-01	2.560196839e+00	6.076510057e+00	2.256265805e+00	2.300589080e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.553425287e+00	2.321695402e-01	6.120833333e-02	2.542889655e+01	3.503649425e-01	6.163045977e-01	3.545862069e-01	4.263477011e-01	4.369008621e-01	6.542959770e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:Group:E_6P	1.177934840e+00	0.000000000e+00	0.000000000e+00	2.303126330e+00	3.860031915e+00	3.555292553e-01	5.938510638e-01	2.236708777e+00	3.125531915e-02	2.754375000e-01	1.506467314e+02	2.852047872e-01	3.086462766e-01	6.342290293e+01	2.228699601e+01	1.981782580e+01	4.326908245e+00	5.709956117e+00	3.338458777e+00	4.832853723e+00	1.009937500e+00	2.949720745e+00	2.090199468e-01	9.357061170e-01	3.535757979e-01	9.007392287e+00	7.305930851e-01	8.517074468e-01	2.350009309e+00	4.977409574e+00	1.123238032e+01	2.168337766e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.824529255e+00	2.461356383e-01	5.274335106e-02	2.357237101e+01	3.555292553e-01	5.997114362e-01	2.832513298e-01	3.027859043e-01	3.203670213e-01	6.739428191e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.000000000e+00
Group:Group:A_1P	6.635430809e-01	0.000000000e+00	0.000000000e+00	3.471135770e+00	6.301741514e+00	9.128511749e-01	9.358642298e-01	2.025148825e+00	0.000000000e+00	2.991697128e-01	3.435849086e+01	2.301305483e-01	3.912219321e-01	1.173128825e+02	3.632610705e+01	2.760415927e+01	2.485409922e+00	9.036459530e+00	3.229498695e+00	4.978490862e+00	1.181336815e+00	2.320483029e+00	4.832741514e-01	4.065639687e-01	6.865561358e-01	2.094571540e+01	1.235033943e+00	1.626255875e+00	3.214156658e+00	1.986793734e+01	3.916054830e+00	4.564255875e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.802689295e+00	4.334125326e-01	8.438120104e-02	2.001368668e+01	6.060104439e-01	6.942271540e-01	3.643733681e-01	6.405300261e-01	3.835509138e-01	1.200514360e+00	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:A_2P	8.260463768e-01	0.000000000e+00	0.000000000e+00	2.716585507e+00	4.317582609e+00	6.429536232e-01	3.491536232e-01	2.703811594e+00	4.360162319e+00	3.789594203e-01	8.291972754e+01	1.958666667e-01	2.597362319e-01	7.735881739e+01	2.014020290e+00	1.241624348e+01	1.988472464e+00	4.330356522e+00	3.474504348e+00	3.406376812e+00	7.621768116e-01	2.239692754e+00	3.193478261e-01	2.639942029e-01	4.768927536e-01	1.975272754e+01	1.302939130e+00	1.090040580e+00	2.014020290e+00	3.007404928e+01	2.454720290e+01	2.725101449e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.345518841e+00	2.554782609e-01	4.257971014e-02	2.803448116e+01	4.215391304e-01	3.704434783e-01	3.534115942e-01	3.959913043e-01	1.916086957e-01	1.124104348e+00	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:A_3P	8.475878694e-01	0.000000000e+00	0.000000000e+00	3.120768274e+00	4.873059098e+00	8.018958009e-01	3.792441680e-01	3.408628305e+00	1.370762053e-01	2.375987558e-01	5.295253810e+01	2.969984448e-01	2.490217729e-01	9.610869673e+01	1.154181649e+01	2.307220995e+01	2.250334370e+00	4.359023328e+00	2.643286159e+00	5.208895801e+00	8.795723173e-01	2.181796267e+00	3.495443235e-01	6.693888025e-01	4.363592535e-01	2.063682271e+01	8.955645412e-01	1.039494557e+00	1.729444790e+00	2.540250544e+01	2.362279938e+00	2.238911353e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.681468118e+00	2.558755832e-01	4.797667185e-02	2.545048212e+01	4.500668740e-01	4.432130638e-01	2.855754277e-01	5.642970451e-01	4.637744946e-01	8.864261275e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:A_4P	5.132335116e-01	0.000000000e+00	0.000000000e+00	3.377914439e+00	4.132053476e+00	9.086327986e-01	5.210891266e-01	4.367721925e+00	0.000000000e+00	3.508841355e-01	6.693507665e+01	2.487611408e-01	3.535026738e-01	1.116440000e+02	2.277080927e+01	6.355192513e+00	2.765176471e+00	7.284773619e+00	3.535026738e+00	4.286547237e+00	1.110260250e+00	3.068926916e+00	3.901622103e-01	7.672317291e-01	4.268217469e-01	1.663819251e+01	7.934171123e-01	9.845704100e-01	2.623775401e+00	1.777201961e+01	1.372375936e+01	2.592352941e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.654916221e+00	3.168431373e-01	5.498930481e-02	1.458787701e+01	5.210891266e-01	3.273172906e-01	1.440196078e-01	5.001408200e-01	4.870481283e-01	6.939126560e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:A_5P	3.391837398e-01	0.000000000e+00	0.000000000e+00	4.108422764e+00	4.046318699e+00	5.326617886e-01	5.637138211e-01	2.493717073e+00	0.000000000e+00	3.033544715e-01	9.997082439e+01	3.344065041e-01	3.200747967e-01	1.083811480e+02	3.580538211e+00	1.564305854e+01	3.819400000e+00	7.383217886e+00	1.177588618e+00	4.371170732e+00	8.527365854e-01	2.123481301e+00	2.101983740e-01	6.473154472e-01	3.941219512e-01	1.644085691e+01	7.739121951e-01	1.086821138e+00	2.443556098e+00	1.548779837e+01	2.364731707e+00	2.269186992e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.523938211e+00	2.603593496e-01	6.210406504e-02	1.500768618e+01	4.227853659e-01	3.415723577e-01	1.672032520e-01	6.497040650e-01	5.947658537e-01	7.094195122e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:A_6P	6.423996865e-01	0.000000000e+00	0.000000000e+00	2.905764890e+00	3.732365204e+00	6.884498433e-01	5.733244514e-01	3.269561129e+00	0.000000000e+00	3.223510972e-01	1.917758777e+01	2.509733542e-01	2.786034483e-01	7.909114420e+01	1.428245611e+01	1.983150000e+01	3.062335423e+00	6.138485893e+00	4.054716301e+00	4.139909091e+00	9.670532915e-01	2.857412226e+00	3.684012539e-01	8.081802508e-01	3.983338558e-01	2.002491066e+01	8.289028213e-01	9.117931034e-01	2.166659875e+00	5.963495298e+00	1.247728997e+01	3.131410658e-01	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	1.501235110e+00	2.739984326e-01	2.532758621e-02	2.008477586e+01	4.374764890e-01	1.772931034e-01	2.578808777e-01	4.950391850e-01	5.894420063e-01	6.354921630e-01	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:B_1P	3.072582298e+00	9.854161491e-01	1.254580745e-01	1.067534161e+00	1.706229814e+00	9.945403727e-01	6.067608696e-01	4.245045031e+00	4.105900621e-02	2.486350932e-01	1.421325932e+01	1.482686335e-01	1.961708075e-01	2.774904503e+01	0.000000000e+00	0.000000000e+00	4.838119565e+00	5.574900621e+00	6.355021739e+00	2.518285714e+00	5.748260870e-01	0.000000000e+00	2.531972050e-01	2.737267081e-01	2.691645963e-01	5.417507764e+00	5.337670807e-01	6.523819876e-01	6.021987578e-01	0.000000000e+00	1.190711180e+01	1.459875776e-01	1.101750000e+00	7.755590062e-02	1.391444099e-01	2.440729814e-01	0.000000000e+00	1.619549689e-01	1.291077640e+00	1.887573758e+01	2.714456522e-01	7.116894410e-01	6.067608696e-01	0.000000000e+00	0.000000000e+00	4.265574534e-01	0.000000000e+00	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
Group:Group:B_2P	2.828130194e+00	1.827094183e+00	2.645013850e-01	1.066144044e+00	1.497484765e+00	7.039806094e-01	7.975734072e-01	2.128218837e+00	0.000000000e+00	2.441551247e-01	2.399475180e+02	1.709085873e-01	2.441551247e-01	2.532295568e+01	0.000000000e+00	0.000000000e+00	4.411069252e+00	7.739717452e+00	5.782407202e+00	2.612459834e+00	8.789584488e-01	0.000000000e+00	2.767091413e-01	2.075318560e-01	2.482243767e-01	2.689775623e+00	5.005180055e-01	7.202576177e-01	5.127257618e-01	0.000000000e+00	2.122521884e+01	1.587008310e-01	8.911662050e-01	0.000000000e+00	2.563628809e-01	2.726398892e-01	0.000000000e+00	1.302160665e-01	9.359279778e-01	3.168726593e+01	2.034626039e-01	8.423351801e-01	5.941108033e-01	0.000000000e+00	0.000000000e+00	4.516869806e-01	0.000000000e+00	1.000000000e+00	0.000000000e+00	0.000000000e+00	0.000000000e+00
